Word1,Word2,Word3,Word4,Subject
London,England,Paris,France,capital-common-countries
London,England,Rome,Italy,capital-common-countries
Paris,France,Rome,Italy,capital-common-countries
Paris,France,London,England,capital-common-countries
Rome,Italy,London,England,capital-common-countries
Rome,Italy,Paris,France,capital-common-countries
London,England,Paris,France,capital-world
London,England,Rome,Italy,capital-world
Paris,France,Rome,Italy,capital-world
Paris,France,Tripoli,Libya,capital-world
Rome,Italy,Tripoli,Libya,capital-world
boy,girl,brother,sister,family
boy,girl,brothers,sisters,family
boy,girl,father,mother,family
boy,girl,grandfather,grandmother,family
boy,girl,groom,bride,family
boy,girl,he,she,family
boy,girl,his,her,family
boy,girl,husband,wife,family
boy,girl,king,queen,family
boy,girl,man,woman,family
boy,girl,nephew,niece,family
boy,girl,prince,princess,family
boy,girl,son,daughter,family
boy,girl,sons,daughters,family
boy,girl,uncle,aunt,family
brother,sister,brothers,sisters,family
brother,sister,father,mother,family
brother,sister,grandfather,grandmother,family
brother,sister,groom,bride,family
brother,sister,he,she,family
brother,sister,his,her,family
brother,sister,husband,wife,family
brother,sister,king,queen,family
brother,sister,man,woman,family
brother,sister,nephew,niece,family
brother,sister,prince,princess,family
brother,sister,son,daughter,family
brother,sister,sons,daughters,family
brother,sister,uncle,aunt,family
brother,sister,boy,girl,family
brothers,sisters,father,mother,family
brothers,sisters,grandfather,grandmother,family
brothers,sisters,groom,bride,family
brothers,sisters,he,she,family
brothers,sisters,his,her,family
brothers,sisters,husband,wife,family
brothers,sisters,king,queen,family
brothers,sisters,man,woman,family
brothers,sisters,nephew,niece,family
brothers,sisters,prince,princess,family
brothers,sisters,son,daughter,family
brothers,sisters,sons,daughters,family
brothers,sisters,uncle,aunt,family
brothers,sisters,boy,girl,family
brothers,sisters,brother,sister,family
father,mother,grandfather,grandmother,family
father,mother,groom,bride,family
father,mother,he,she,family
father,mother,his,her,family
father,mother,husband,wife,family
father,mother,king,queen,family
father,mother,man,woman,family
father,mother,nephew,niece,family
father,mother,prince,princess,family
father,mother,son,daughter,family
father,mother,sons,daughters,family
father,mother,uncle,aunt,family
father,mother,boy,girl,family
father,mother,brother,sister,family
father,mother,brothers,sisters,family
grandfather,grandmother,groom,bride,family
grandfather,grandmother,he,she,family
grandfather,grandmother,his,her,family
grandfather,grandmother,husband,wife,family
grandfather,grandmother,king,queen,family
grandfather,grandmother,man,woman,family
grandfather,grandmother,nephew,niece,family
grandfather,grandmother,prince,princess,family
grandfather,grandmother,son,daughter,family
grandfather,grandmother,sons,daughters,family
grandfather,grandmother,uncle,aunt,family
grandfather,grandmother,boy,girl,family
grandfather,grandmother,brother,sister,family
grandfather,grandmother,brothers,sisters,family
grandfather,grandmother,father,mother,family
groom,bride,he,she,family
groom,bride,his,her,family
groom,bride,husband,wife,family
groom,bride,king,queen,family
groom,bride,man,woman,family
groom,bride,nephew,niece,family
groom,bride,prince,princess,family
groom,bride,son,daughter,family
groom,bride,sons,daughters,family
groom,bride,uncle,aunt,family
groom,bride,boy,girl,family
groom,bride,brother,sister,family
groom,bride,brothers,sisters,family
groom,bride,father,mother,family
groom,bride,grandfather,grandmother,family
he,she,his,her,family
he,she,husband,wife,family
he,she,king,queen,family
he,she,man,woman,family
he,she,nephew,niece,family
he,she,prince,princess,family
he,she,son,daughter,family
he,she,sons,daughters,family
he,she,uncle,aunt,family
he,she,boy,girl,family
he,she,brother,sister,family
he,she,brothers,sisters,family
he,she,father,mother,family
he,she,grandfather,grandmother,family
he,she,groom,bride,family
his,her,husband,wife,family
his,her,king,queen,family
his,her,man,woman,family
his,her,nephew,niece,family
his,her,prince,princess,family
his,her,son,daughter,family
his,her,sons,daughters,family
his,her,uncle,aunt,family
his,her,boy,girl,family
his,her,brother,sister,family
his,her,brothers,sisters,family
his,her,father,mother,family
his,her,grandfather,grandmother,family
his,her,groom,bride,family
his,her,he,she,family
husband,wife,king,queen,family
husband,wife,man,woman,family
husband,wife,nephew,niece,family
husband,wife,prince,princess,family
husband,wife,son,daughter,family
husband,wife,sons,daughters,family
husband,wife,uncle,aunt,family
husband,wife,boy,girl,family
husband,wife,brother,sister,family
husband,wife,brothers,sisters,family
husband,wife,father,mother,family
husband,wife,grandfather,grandmother,family
husband,wife,groom,bride,family
husband,wife,he,she,family
husband,wife,his,her,family
king,queen,man,woman,family
king,queen,nephew,niece,family
king,queen,prince,princess,family
king,queen,son,daughter,family
king,queen,sons,daughters,family
king,queen,uncle,aunt,family
king,queen,boy,girl,family
king,queen,brother,sister,family
king,queen,brothers,sisters,family
king,queen,father,mother,family
king,queen,grandfather,grandmother,family
king,queen,groom,bride,family
king,queen,he,she,family
king,queen,his,her,family
king,queen,husband,wife,family
man,woman,nephew,niece,family
man,woman,prince,princess,family
man,woman,son,daughter,family
man,woman,sons,daughters,family
man,woman,uncle,aunt,family
man,woman,boy,girl,family
man,woman,brother,sister,family
man,woman,brothers,sisters,family
man,woman,father,mother,family
man,woman,grandfather,grandmother,family
man,woman,groom,bride,family
man,woman,he,she,family
man,woman,his,her,family
man,woman,husband,wife,family
man,woman,king,queen,family
nephew,niece,prince,princess,family
nephew,niece,son,daughter,family
nephew,niece,sons,daughters,family
nephew,niece,uncle,aunt,family
nephew,niece,boy,girl,family
nephew,niece,brother,sister,family
nephew,niece,brothers,sisters,family
nephew,niece,father,mother,family
nephew,niece,grandfather,grandmother,family
nephew,niece,groom,bride,family
nephew,niece,he,she,family
nephew,niece,his,her,family
nephew,niece,husband,wife,family
nephew,niece,king,queen,family
nephew,niece,man,woman,family
prince,princess,son,daughter,family
prince,princess,sons,daughters,family
prince,princess,uncle,aunt,family
prince,princess,boy,girl,family
prince,princess,brother,sister,family
prince,princess,brothers,sisters,family
prince,princess,father,mother,family
prince,princess,grandfather,grandmother,family
prince,princess,groom,bride,family
prince,princess,he,she,family
prince,princess,his,her,family
prince,princess,husband,wife,family
prince,princess,king,queen,family
prince,princess,man,woman,family
prince,princess,nephew,niece,family
son,daughter,sons,daughters,family
son,daughter,uncle,aunt,family
son,daughter,boy,girl,family
son,daughter,brother,sister,family
son,daughter,brothers,sisters,family
son,daughter,father,mother,family
son,daughter,grandfather,grandmother,family
son,daughter,groom,bride,family
son,daughter,he,she,family
son,daughter,his,her,family
son,daughter,husband,wife,family
son,daughter,king,queen,family
son,daughter,man,woman,family
son,daughter,nephew,niece,family
son,daughter,prince,princess,family
sons,daughters,uncle,aunt,family
sons,daughters,boy,girl,family
sons,daughters,brother,sister,family
sons,daughters,brothers,sisters,family
sons,daughters,father,mother,family
sons,daughters,grandfather,grandmother,family
sons,daughters,groom,bride,family
sons,daughters,he,she,family
sons,daughters,his,her,family
sons,daughters,husband,wife,family
sons,daughters,king,queen,family
sons,daughters,man,woman,family
sons,daughters,nephew,niece,family
sons,daughters,prince,princess,family
sons,daughters,son,daughter,family
uncle,aunt,boy,girl,family
uncle,aunt,brother,sister,family
uncle,aunt,brothers,sisters,family
uncle,aunt,father,mother,family
uncle,aunt,grandfather,grandmother,family
uncle,aunt,groom,bride,family
uncle,aunt,he,she,family
uncle,aunt,his,her,family
uncle,aunt,husband,wife,family
uncle,aunt,king,queen,family
uncle,aunt,man,woman,family
uncle,aunt,nephew,niece,family
uncle,aunt,prince,princess,family
uncle,aunt,son,daughter,family
uncle,aunt,sons,daughters,family
calm,calmly,cheerful,cheerfully,gram1-adjective-to-adverb
calm,calmly,free,freely,gram1-adjective-to-adverb
calm,calmly,happy,happily,gram1-adjective-to-adverb
calm,calmly,immediate,immediately,gram1-adjective-to-adverb
calm,calmly,quick,quickly,gram1-adjective-to-adverb
calm,calmly,quiet,quietly,gram1-adjective-to-adverb
calm,calmly,rare,rarely,gram1-adjective-to-adverb
calm,calmly,safe,safely,gram1-adjective-to-adverb
calm,calmly,slow,slowly,gram1-adjective-to-adverb
calm,calmly,sudden,suddenly,gram1-adjective-to-adverb
calm,calmly,swift,swiftly,gram1-adjective-to-adverb
cheerful,cheerfully,free,freely,gram1-adjective-to-adverb
cheerful,cheerfully,happy,happily,gram1-adjective-to-adverb
cheerful,cheerfully,immediate,immediately,gram1-adjective-to-adverb
cheerful,cheerfully,quick,quickly,gram1-adjective-to-adverb
cheerful,cheerfully,quiet,quietly,gram1-adjective-to-adverb
cheerful,cheerfully,rare,rarely,gram1-adjective-to-adverb
cheerful,cheerfully,safe,safely,gram1-adjective-to-adverb
cheerful,cheerfully,slow,slowly,gram1-adjective-to-adverb
cheerful,cheerfully,sudden,suddenly,gram1-adjective-to-adverb
cheerful,cheerfully,swift,swiftly,gram1-adjective-to-adverb
cheerful,cheerfully,calm,calmly,gram1-adjective-to-adverb
free,freely,happy,happily,gram1-adjective-to-adverb
free,freely,immediate,immediately,gram1-adjective-to-adverb
free,freely,quick,quickly,gram1-adjective-to-adverb
free,freely,quiet,quietly,gram1-adjective-to-adverb
free,freely,rare,rarely,gram1-adjective-to-adverb
free,freely,safe,safely,gram1-adjective-to-adverb
